Id,q_amplicon,Phylum,Class,Order,Family,Genus,Species
1,ASV 1: Fervidobacterium,Thermotogota,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,Fervidobacterium
2,ASV 2: Leptotrichia,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia
3,ASV 3: Leptotrichia,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia
4,ASV 4: Leptotrichia,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia
5,ASV 5: Leptotrichia,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia
6,ASV 6: Leptotrichia,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia
7,ASV 7: Leptotrichia,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia
8,ASV 8: Leptotrichia,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia
9,ASV 9: Fusobacterium,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium
10,ASV 10: Fusobacterium,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium
11,ASV 11: Fusobacterium,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium
12,ASV 12: Fusobacterium,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium
13,ASV 13: Fusobacterium,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium
14,ASV 14: Fusobacterium,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium
15,ASV 15: Fusobacterium,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium
16,ASV 16: Fusobacterium,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium
17,ASV 17: Fusobacterium,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium
18,ASV 18: Fusobacterium,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium
19,ASV 19: Fusobacterium,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium
20,ASV 20: Gracilibacteria,Patescibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria
21,ASV 21: JGI_0000069-P22,Patescibacteria,Gracilibacteria,JGI_0000069-P22,JGI_0000069-P22,JGI_0000069-P22,JGI_0000069-P22
22,ASV 22: JGI_0000069-P22,Patescibacteria,Gracilibacteria,JGI_0000069-P22,JGI_0000069-P22,JGI_0000069-P22,JGI_0000069-P22
23,ASV 23: JGI_0000069-P22,Patescibacteria,Gracilibacteria,JGI_0000069-P22,JGI_0000069-P22,JGI_0000069-P22,JGI_0000069-P22
24,ASV 24: Candidatus_Peregrinibacteria,Patescibacteria,Gracilibacteria,Candidatus_Peregrinibacteria,Candidatus_Peregrinibacteria,Candidatus_Peregrinibacteria,Candidatus_Peregrinibacteria
25,ASV 25: ultured_organism,Patescibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria,uncultured_organism
26,ASV 26: ultured_organism,Patescibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria,uncultured_organism
27,ASV 27: Rickettsiales,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiales,Rickettsiales,Rickettsiales
28,ASV 28: Parcubacteria,Patescibacteria,Parcubacteria,Parcubacteria,Parcubacteria,Parcubacteria,Parcubacteria
29,ASV 29: Candidatus_Kaiserbacteria,Patescibacteria,Parcubacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria
30,ASV 30: Candidatus_Kaiserbacteria,Patescibacteria,Parcubacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria
31,ASV 31: Candidatus_Kaiserbacteria,Patescibacteria,Parcubacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria
32,ASV 32: Candidatus_Azambacteria,Patescibacteria,Parcubacteria,Candidatus_Azambacteria,Candidatus_Azambacteria,Candidatus_Azambacteria,Candidatus_Azambacteria
33,ASV 33: Candidatus_Nomurabacteria,Patescibacteria,Parcubacteria,Candidatus_Nomurabacteria,Candidatus_Nomurabacteria,Candidatus_Nomurabacteria,Candidatus_Nomurabacteria
34,ASV 34: Candidatus_Nomurabacteria,Patescibacteria,Parcubacteria,Candidatus_Nomurabacteria,Candidatus_Nomurabacteria,Candidatus_Nomurabacteria,Candidatus_Nomurabacteria
35,ASV 35: Candidatus_Adlerbacteria,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria
36,ASV 36: Parcubacteria,Patescibacteria,Parcubacteria,Parcubacteria,Parcubacteria,Parcubacteria,Parcubacteria
37,ASV 37: Candidatus_Adlerbacteria,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria
38,ASV 38: Candidatus_Adlerbacteria,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria
39,ASV 39: Candidatus_Adlerbacteria,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria
40,ASV 40: Candidatus_Adlerbacteria,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria
41,ASV 41: Candidatus_Adlerbacteria,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria
42,ASV 42: Candidatus_Adlerbacteria,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria
43,ASV 43: Candidatus_Adlerbacteria,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria
44,ASV 44: Candidatus_Adlerbacteria,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria
45,ASV 45: Candidatus_Adlerbacteria,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria
46,ASV 46: Candidatus_Adlerbacteria,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria
47,ASV 47: Candidatus_Adlerbacteria,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria
48,ASV 48: Parcubacteria,Patescibacteria,Parcubacteria,Parcubacteria,Parcubacteria,Parcubacteria,Parcubacteria
49,ASV 49: Parcubacteria,Patescibacteria,Parcubacteria,Parcubacteria,Parcubacteria,Parcubacteria,Parcubacteria
50,ASV 50: Parcubacteria,Patescibacteria,Parcubacteria,Parcubacteria,Parcubacteria,Parcubacteria,Parcubacteria
51,ASV 51: Parcubacteria,Patescibacteria,Parcubacteria,Parcubacteria,Parcubacteria,Parcubacteria,Parcubacteria
52,ASV 52: Candidatus_Moranbacteria,Patescibacteria,Parcubacteria,Candidatus_Moranbacteria,Candidatus_Moranbacteria,Candidatus_Moranbacteria,Candidatus_Moranbacteria
53,ASV 53: Candidatus_Magasanikbacteria,Patescibacteria,ABY1,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria
54,ASV 54: Candidatus_Magasanikbacteria,Patescibacteria,ABY1,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria
55,ASV 55: Candidatus_Magasanikbacteria,Patescibacteria,ABY1,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria
56,ASV 56: Candidatus_Magasanikbacteria,Patescibacteria,ABY1,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria
57,ASV 57: Candidatus_Magasanikbacteria,Patescibacteria,ABY1,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria
58,ASV 58: Candidatus_Magasanikbacteria,Patescibacteria,ABY1,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria
59,ASV 59: Candidatus_Magasanikbacteria,Patescibacteria,ABY1,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria
60,ASV 60: Saccharimonadales,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadales,Saccharimonadales,Saccharimonadales
61,ASV 61: Saccharimonadales,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadales,Saccharimonadales,Saccharimonadales
62,ASV 62: Candidatus_Saccharimonas,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,Candidatus_Saccharimonas,Candidatus_Saccharimonas
63,ASV 63: Candidatus_Saccharimonas,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,Candidatus_Saccharimonas,Candidatus_Saccharimonas
64,ASV 64: Ardenticatenaceae,Chloroflexi,Anaerolineae,Ardenticatenales,Ardenticatenaceae,Ardenticatenaceae,Ardenticatenaceae
65,ASV 65: Absconditabacteriales_(SR1),Patescibacteria,Gracilibacteria,Absconditabacteriales_(SR1),Absconditabacteriales_(SR1),Absconditabacteriales_(SR1),Absconditabacteriales_(SR1)
66,ASV 66: Candidatus_Woesebacteria,Patescibacteria,Microgenomatia,Candidatus_Woesebacteria,Candidatus_Woesebacteria,Candidatus_Woesebacteria,Candidatus_Woesebacteria
67,ASV 67: SJA-28,Bacteroidota,SJA-28,SJA-28,SJA-28,SJA-28,SJA-28
68,ASV 68: SJA-28,Bacteroidota,SJA-28,SJA-28,SJA-28,SJA-28,SJA-28
69,ASV 69: Abditibacterium,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium,Abditibacterium
70,ASV 70: Candidatus_Amoebophilus,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,Candidatus_Amoebophilus,Candidatus_Amoebophilus
71,ASV 71: Candidatus_Cardinium,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,Candidatus_Cardinium,Candidatus_Cardinium
72,ASV 72: Algoriphagus,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Algoriphagus
73,ASV 73: Algoriphagus,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Algoriphagus
74,ASV 74: Nibribacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Nibribacter,Nibribacter
75,ASV 75: Hymenobacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter
76,ASV 76: Hymenobacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter
77,ASV 77: Hymenobacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter
78,ASV 78: Hymenobacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter
79,ASV 79: Hymenobacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter
80,ASV 80: Hymenobacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter
81,ASV 81: Hymenobacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter
82,ASV 82: Hymenobacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter
83,ASV 83: Hymenobacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter
84,ASV 84: Hymenobacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter
85,ASV 85: Hymenobacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter
86,ASV 86: Hymenobacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter
87,ASV 87: Hymenobacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter
88,ASV 88: Hymenobacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter
89,ASV 89: Hymenobacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter
90,ASV 90: Hymenobacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter
91,ASV 91: Hymenobacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter
92,ASV 92: Hymenobacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter
93,ASV 93: Hymenobacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter
94,ASV 94: Hymenobacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter
95,ASV 95: Hymenobacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter
96,ASV 96: Hymenobacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter
97,ASV 97: Hymenobacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter
98,ASV 98: Hymenobacter_sp.,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter
99,ASV 99: Hymenobacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter
100,ASV 100: Hymenobacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter
101,ASV 101: Adhaeribacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter,Adhaeribacter
102,ASV 102: Adhaeribacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter,Adhaeribacter
103,ASV 103: Adhaeribacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter,Adhaeribacter
104,ASV 104: Adhaeribacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter,Adhaeribacter
105,ASV 105: Adhaeribacter,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter,Adhaeribacter
106,ASV 106: Ohtaekwangia,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Ohtaekwangia,Ohtaekwangia
107,ASV 107: Microscillaceae,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Microscillaceae,Microscillaceae
108,ASV 108: Microscillaceae,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Microscillaceae,Microscillaceae
109,ASV 109: Microscillaceae,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Microscillaceae,Microscillaceae
110,ASV 110: Microscillaceae,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Microscillaceae,Microscillaceae
111,ASV 111: Microscillaceae,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Microscillaceae,Microscillaceae
112,ASV 112: Chryseolinea,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Chryseolinea,Chryseolinea
113,ASV 113: Microscillaceae,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Microscillaceae,Microscillaceae
114,ASV 114: Microscillaceae,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Microscillaceae,Microscillaceae
115,ASV 115: Microscillaceae,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Microscillaceae,Microscillaceae
116,ASV 116: Rhodocytophaga,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Rhodocytophaga,Rhodocytophaga
117,ASV 117: Flectobacillus,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Flectobacillus,Flectobacillus
118,ASV 118: Cytophaga,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Cytophaga,Cytophaga
119,ASV 119: Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophagaceae,Chitinophagaceae
120,ASV 120: Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophagaceae,Chitinophagaceae
121,ASV 121: Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophagaceae,Chitinophagaceae
122,ASV 122: Fluviicola,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,Fluviicola
123,ASV 123: Fluviicola,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,Fluviicola
124,ASV 124: Fluviicola,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,Fluviicola
125,ASV 125: Fluviicola,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,Fluviicola
126,ASV 126: Fluviicola,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,Fluviicola
127,ASV 127: Fluviicola,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,Fluviicola
128,ASV 128: AKYH767,Bacteroidota,Bacteroidia,Sphingobacteriales,AKYH767,AKYH767,AKYH767
129,ASV 129: KD3-93,Bacteroidota,Bacteroidia,Sphingobacteriales,KD3-93,KD3-93,KD3-93
130,ASV 130: KD3-93,Bacteroidota,Bacteroidia,Sphingobacteriales,KD3-93,KD3-93,KD3-93
131,ASV 131: NS9_marine_group,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,NS9_marine_group
132,ASV 132: NS9_marine_group,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,NS9_marine_group
133,ASV 133: Bacteroidetes_vadinHA17,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_vadinHA17,Bacteroidetes_vadinHA17,Bacteroidetes_vadinHA17
134,ASV 134: NS11-12_marine_group,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,NS11-12_marine_group,NS11-12_marine_group
135,ASV 135: NS11-12_marine_group,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,NS11-12_marine_group,NS11-12_marine_group
136,ASV 136: Muribaculaceae,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae,Muribaculaceae
137,ASV 137: Dysgonomonas,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,Dysgonomonas
138,ASV 138: Dysgonomonas,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,Dysgonomonas
139,ASV 139: Dysgonomonas,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,Dysgonomonas
140,ASV 140: Dysgonomonas,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,Dysgonomonas
141,ASV 141: Dysgonomonas,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,Dysgonomonas
142,ASV 142: Dysgonomonas,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,Dysgonomonas
143,ASV 143: Proteiniphilum,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Proteiniphilum,Proteiniphilum
144,ASV 144: Odoribacter,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,Odoribacter
145,ASV 145: Odoribacter,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,Odoribacter
146,ASV 146: Odoribacter,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,Odoribacter
147,ASV 147: ultured_Bacteroidetes,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonadaceae,uncultured_Bacteroidetes
148,ASV 148: ultured_Bacteroidetes,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonadaceae,uncultured_Bacteroidetes
149,ASV 149: ultured_Bacteroidetes,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonadaceae,uncultured_Bacteroidetes
150,ASV 150: ultured_Bacteroidetes,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonadaceae,uncultured_Bacteroidetes
151,ASV 151: ultured_Bacteroidetes,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonadaceae,uncultured_Bacteroidetes
152,ASV 152: Porphyromonas,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas
153,ASV 153: Porphyromonas,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas
154,ASV 154: Porphyromonas,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas
155,ASV 155: Porphyromonas,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas
156,ASV 156: Porphyromonas,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas
157,ASV 157: Dysgonomonas,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,Dysgonomonas
158,ASV 158: Dysgonomonas,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,Dysgonomonas
159,ASV 159: Dysgonomonas,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,Dysgonomonas
160,ASV 160: Dysgonomonas,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,Dysgonomonas
161,ASV 161: Dysgonomonas,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,Dysgonomonas
162,ASV 162: Dysgonomonas,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,Dysgonomonas
163,ASV 163: Prevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella
164,ASV 164: Prevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella
165,ASV 165: Prevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella
166,ASV 166: Prevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella
167,ASV 167: Prevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella
168,ASV 168: Prevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella
169,ASV 169: Prevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella
170,ASV 170: Prevotellaceae,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae,Prevotellaceae
171,ASV 171: Prevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella
172,ASV 172: Prevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella
173,ASV 173: Prevotella_bivia,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_bivia
174,ASV 174: Prevotella_bivia,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_bivia
175,ASV 175: Prevotella_bivia,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_bivia
176,ASV 176: Prevotella_bivia,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_bivia
177,ASV 177: Prevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella
178,ASV 178: Prevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella
179,ASV 179: Prevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella
180,ASV 180: Prevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella
181,ASV 181: Prevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella
182,ASV 182: Prevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella
183,ASV 183: Prevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella
184,ASV 184: Prevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella
185,ASV 185: Prevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella
186,ASV 186: Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides
187,ASV 187: Alloprevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella
188,ASV 188: Alloprevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella
189,ASV 189: Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides
190,ASV 190: Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides
191,ASV 191: Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides
192,ASV 192: Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides
193,ASV 193: Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides
